Family,Genus,Species,volant,Position,ShiftR,PrAb,Sampling,Grain,Quality,Start
Carabidae,Pterostichus,Pterostichus pumilio,n,Leading edge,0.957,OCCUR,TWO,FINE,LOW,1902
Carabidae,Scarites,Scarites orthomus,n,Trailing edge,-1.786,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Scarites,Scarites orthomus,n,Leading edge,0,OCCUR,TWO,FINE,RESURVEYED,1985
Carabidae,Tachyta,Tachyta nana,n,Leading edge,5.914,OCCUR,TWO,FINE,LOW,1902
Carabidae,Trechus,Trechus splendens,n,Leading edge,0.287,OCCUR,TWO,FINE,LOW,1902
Carabidae,Trichotichnus,Trichotichnus laevicollis,n,Leading edge,3.943,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Alosterna,Alosterna tabacicolor,n,Leading edge,3.675,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Anastrangalia,Anastrangalia sanguinolenta,n,Leading edge,6.411,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Arhopalus,Arhopalus rusticus,n,Leading edge,1.407,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Callidium,Callidium violaceum,n,Leading edge,5.225,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Corymbia,Corymbia rubra,n,Leading edge,5.646,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Evodinus,Evodinus clathratus,n,Leading edge,3.732,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Gaurotes,Gaurotes virginea,n,Leading edge,5.55,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Judolia,Judolia cerambyciformis,n,Leading edge,3.129,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Molorchus,Molorchus minor,n,Leading edge,1.933,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Monochamus,Monochamus sutor,n,Leading edge,0.622,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Oxymirus,Oxymirus cursor,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Paracorymbia,Paracorymbia maculicornis,n,Leading edge,1.301,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Pidonia,Pidonia lurida,n,Leading edge,3.703,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Rhagium,Rhagium bifasciatum,n,Leading edge,6.411,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Rhagium,Rhagium mordax,n,Leading edge,5.914,OCCUR,TWO,FINE,LOW,1902
Cerambycidae,Stenurella,Stenurella melanura,n,Leading edge,4.689,OCCUR,TWO,FINE,LOW,1902
Cerylonidae,Cerylon,Cerylon fagi,n,Leading edge,-1.014,OCCUR,TWO,FINE,LOW,1902
Cerylonidae,Cerylon,Cerylon ferrugineum,n,Leading edge,3.254,OCCUR,TWO,FINE,LOW,1902
Cerylonidae,Cerylon,Cerylon histeroides,n,Leading edge,1.053,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Altica,Altica oleracea,n,Leading edge,5.474,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Chrysolina,Chrysolina fastuosa,n,Leading edge,-0.574,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Cryptocephalus,Cryptocephalus labiatus,n,Leading edge,-3.167,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Galeruca,Galeruca tanaceti,n,Leading edge,2.019,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Galerucella,Galerucella lineola,n,Leading edge,6.258,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Lochmaea,Lochmaea capreae,n,Leading edge,4.928,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Longitarsus,Longitarsus luridus,n,Leading edge,1.244,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Luperus,Luperus viridipennis,n,Leading edge,3.349,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Neocrepidodera,Neocrepidodera femorata,n,Leading edge,2.708,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Neocrepidodera,Neocrepidodera ferruginea,n,Leading edge,4.536,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Phaedon,Phaedon cochleariae,n,Leading edge,-1.435,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Phyllotreta,Phyllotreta nemorum,n,Leading edge,0.459,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Phyllotreta,Phyllotreta tetrastigma,n,Leading edge,0.957,OCCUR,TWO,FINE,LOW,1902
Chrysomelidae,Phyllotreta,Phyllotreta undulata,n,Leading edge,6.584,OCCUR,TWO,FINE,LOW,1902
Ciidae,Cis,Cis boleti,n,Leading edge,1.024,OCCUR,TWO,FINE,LOW,1902
Ciidae,Cis,Cis castaneus,n,Leading edge,2.507,OCCUR,TWO,FINE,LOW,1902
Ciidae,Cis,Cis dentatus,n,Leading edge,2.431,OCCUR,TWO,FINE,LOW,1902
Ciidae,Cis,Cis glabratus,n,Leading edge,3.722,OCCUR,TWO,FINE,LOW,1902
Ciidae,Cis,Cis jacquemartii,n,Leading edge,3.617,OCCUR,TWO,FINE,LOW,1902
Ciidae,Cis,Cis nitidus,n,Leading edge,3.923,OCCUR,TWO,FINE,LOW,1902
Cleridae,Thanasimus,Thanasimus formicarius,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Cleridae,Tillus,Tillus elongatus,n,Leading edge,1.34,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Anatis,Anatis ocellata,n,Leading edge,3.043,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Aphidecta,Aphidecta obliterata,n,Leading edge,6.258,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Calvia,Calvia quatuordecimguttata,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Coccinella,Coccinella septempunctata,n,Leading edge,-0.785,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Propylea,Propylea quatuordecimpunctata,n,Leading edge,5.617,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Scymnus,Scymnus abietis,n,Leading edge,0.459,OCCUR,TWO,FINE,LOW,1902
Coccinellidae,Scymnus,Scymnus haemorrhoidalis,n,Leading edge,1.33,OCCUR,TWO,FINE,LOW,1902
Cryptophagidae,Atomaria,Atomaria nigriventris,n,Leading edge,4.096,OCCUR,TWO,FINE,LOW,1902
Cryptophagidae,Cryptophagus,Cryptophagus dentatus,n,Leading edge,5.426,OCCUR,TWO,FINE,LOW,1902
Cryptophagidae,Cryptophagus,Cryptophagus pubescens,n,Leading edge,4.411,OCCUR,TWO,FINE,LOW,1902
Cryptophagidae,Cryptophagus,Cryptophagus scanicus,n,Leading edge,2.354,OCCUR,TWO,FINE,LOW,1902
Cryptophagidae,Pteryngium,Pteryngium crenatum,n,Leading edge,3.043,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Acalles,Acalles camelus,n,Leading edge,4.565,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Anoplus,Anoplus plantaris,n,Leading edge,6.258,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Anthonomus,Anthonomus rubi,n,Leading edge,4.22,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Ceutorhynchus,Ceutorhynchus erysimi,n,Leading edge,4.134,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Crypturgus,Crypturgus pusillus,n,Leading edge,7.081,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Dryocoetes,Dryocoetes autographus,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Glocianus,Glocianus punctiger,n,Leading edge,-0.01,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Hylastes,Hylastes angustatus,n,Leading edge,2.526,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Hylobius,Hylobius abietis,n,Leading edge,5.55,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Hylobius,Hylobius piceus,n,Leading edge,0.957,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Hylurgops,Hylurgops palliatus,n,Leading edge,5.589,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Hypera,Hypera rumicis,n,Leading edge,3.828,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Ips,Ips typographus,n,Leading edge,2.584,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Magdalis,Magdalis nitida,n,Leading edge,6.431,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Otiorhynchus,Otiorhynchus morio,n,Leading edge,-0.517,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Otiorhynchus,Otiorhynchus morio,n,Leading edge,-2.995,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Otiorhynchus,Otiorhynchus scaber,n,Leading edge,0.555,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Otiorhynchus,Otiorhynchus subdentatus,n,Leading edge,3.847,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Otiorhynchus,Otiorhynchus tenebricosus,n,Leading edge,2.354,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Phyllobius,Phyllobius arborator,n,Leading edge,5.617,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Phyllobius,Phyllobius argentatus,n,Leading edge,3.675,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Phyllobius,Phyllobius calcaratus,n,Leading edge,4.612,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Phyllobius,Phyllobius pyri,n,Leading edge,4.565,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Pissodes,Pissodes piceae,n,Leading edge,2.364,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Pityogenes,Pityogenes chalcographus,n,Leading edge,-0.287,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Pityokteines,Pityokteines curvidens,n,Leading edge,0.22,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Polydrusus,Polydrusus amoenus,n,Leading edge,-0.517,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Polydrusus,Polydrusus impar,n,Leading edge,3.005,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Polydrusus,Polydrusus pallidus,n,Leading edge,6.431,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Polydrusus,Polydrusus undatus,n,Leading edge,2.612,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Rhynchaenus,Rhynchaenus fagi,n,Leading edge,-1.56,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Rhyncolus,Rhyncolus ater,n,Leading edge,6.411,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Sitona,Sitona hispidulus,n,Leading edge,-4.794,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Sitona,Sitona puncticollis,n,Leading edge,-4.794,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Sitona,Sitona sulcifrons,n,Leading edge,0.459,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Strophosoma,Strophosoma melanogrammum,n,Leading edge,5.378,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Tachyerges,Tachyerges stigma,n,Leading edge,-1.34,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Taphrorychus,Taphrorychus bicolor,n,Leading edge,0.383,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Trypodendron,Trypodendron domesticum,n,Leading edge,4.823,OCCUR,TWO,FINE,LOW,1902
Curculionidae,Trypodendron,Trypodendron lineatum,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Elateridae,Agrypnus,Agrypnus murinus,n,Leading edge,-1.11,OCCUR,TWO,FINE,LOW,1902
Elateridae,Athous,Athous subfuscus,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Elateridae,Athous,Athous vittatus,n,Leading edge,1.34,OCCUR,TWO,FINE,LOW,1902
Elateridae,Athous,Athous zebei,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Elateridae,Ctenicera,Ctenicera cuprea,n,Leading edge,3.043,OCCUR,TWO,FINE,LOW,1902
Elateridae,Dalopius,Dalopius marginatus,n,Leading edge,6.182,OCCUR,TWO,FINE,LOW,1902
Elateridae,Hemicrepidius,Hemicrepidius niger,n,Leading edge,1.464,OCCUR,TWO,FINE,LOW,1902
Elateridae,Hypnoidus,Hypnoidus riparius,n,Leading edge,-1.321,OCCUR,TWO,FINE,LOW,1902
Elateridae,Melanotus,Melanotus castanipes,n,Leading edge,4.498,OCCUR,TWO,FINE,LOW,1902
Elateridae,Sericus,Sericus brunneus,n,Leading edge,5.914,OCCUR,TWO,FINE,LOW,1902
Elateridae,Ampedus,Ampedus aethiops,n,Leading edge,0.574,OCCUR,TWO,FINE,LOW,1902
Elateridae,Ampedus,Ampedus nigrinus,n,Leading edge,6.392,OCCUR,TWO,FINE,LOW,1902
Elateridae,Ampedus,Ampedus sanguineus,n,Leading edge,0.411,OCCUR,TWO,FINE,LOW,1902
Erotylidae,Triplax,Triplax aenea,n,Leading edge,-2.392,OCCUR,TWO,FINE,LOW,1902
Geotrupidae,Geotrupes,Geotrupes stercorarius,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Geotrupes,Geotrupes stercorarius,n,Leading edge,0.45,OCCUR,TWO,FINE,LOW,1902
Geotrupidae,Geotrupes,Geotrupes stercorarius,n,Leading edge,1.935,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Geotrupes,Geotrupes stercorarius,n,Centroid,5.032,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Trypocopris,Trypocopris vernalis,n,Leading edge,-22.581,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Trypocopris,Trypocopris vernalis,n,Centroid,-6.194,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Trypocopris,Trypocopris vernalis,n,Trailing edge,0,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,n,Trailing edge,-12.387,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,n,Leading edge,-0.957,OCCUR,TWO,FINE,LOW,1902
Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,n,Leading edge,7.742,ABUND,TWO,FINE,RESURVEYED,1992
Geotrupidae,Anoplotrupes,Anoplotrupes stercorosus,n,Centroid,25.032,ABUND,TWO,FINE,RESURVEYED,1992
Latridiidae,Corticarina,Corticarina fuscula,n,Leading edge,4.842,OCCUR,TWO,FINE,LOW,1902
Latridiidae,Latridius,Latridius minutus,n,Leading edge,0.335,OCCUR,TWO,FINE,LOW,1902
Latridiidae,Stephostethus,Stephostethus angusticollis,n,Leading edge,0.45,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Anisotoma,Anisotoma castanea,n,Leading edge,2.584,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Anisotoma,Anisotoma humeralis,n,Leading edge,4.976,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Catops,Catops tristis,n,Leading edge,3.541,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Sciodrepoides,Sciodrepoides watsoni,n,Leading edge,7.081,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Agathidium,Agathidium bohemicum,n,Leading edge,-2.22,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Agathidium,Agathidium dentatum,n,Leading edge,-1.483,OCCUR,TWO,FINE,LOW,1902
Leiodidae,Agathidium,Agathidium nigripenne,n,Leading edge,1.455,OCCUR,TWO,FINE,LOW,1902
Lucanidae,Sinodendron,Sinodendron cylindricum,n,Leading edge,0.555,OCCUR,TWO,FINE,LOW,1902
Lycidae,Dictyoptera,Dictyoptera aurora,n,Leading edge,3.541,OCCUR,TWO,FINE,LOW,1902
Lycidae,Pyropterus,Pyropterus nigroruber,n,Leading edge,5.617,OCCUR,TWO,FINE,LOW,1902
Lymexylidae,Hylecoetus,Hylecoetus dermestoides,n,Leading edge,4.268,OCCUR,TWO,FINE,LOW,1902
Melandryidae,Hallomenus,Hallomenus binotatus,n,Leading edge,6.507,OCCUR,TWO,FINE,LOW,1902
Meloidae,Meloe,Meloe violaceus,n,Leading edge,-1.263,OCCUR,TWO,FINE,LOW,1902
Melolonthidae,Serica,Serica brunna,n,Leading edge,-0.201,OCCUR,TWO,FINE,LOW,1902
Melyridae,Dasytes,Dasytes cyaneus,n,Leading edge,-0.986,OCCUR,TWO,FINE,LOW,1902
Melyridae,Dasytes,Dasytes fusculus,n,Leading edge,-1.11,OCCUR,TWO,FINE,LOW,1902
Melyridae,Dasytes,Dasytes niger,n,Leading edge,6.756,OCCUR,TWO,FINE,LOW,1902
Melyridae,Dasytes,Dasytes plumbeus,n,Leading edge,5.962,OCCUR,TWO,FINE,LOW,1902
Monotomidae,Monotoma,Monotoma longicollis,n,Leading edge,5.215,OCCUR,TWO,FINE,LOW,1902
Monotomidae,Rhizophagus,Rhizophagus dispar,n,Leading edge,3.541,OCCUR,TWO,FINE,LOW,1902
Mordellidae,Mordella,Mordella aculeata,n,Leading edge,1.148,OCCUR,TWO,FINE,LOW,1902
